Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton),Sisa Makanan,Sisa Makanan (%),KayuRanting,KayuRanting (%),KertasKarton,KertasKarton (%),Plastik,Plastik(%),Logam,Logam(%),Kain,Kain(%),Karet Kulit,Karet Kulit (%),Kaca,Kaca(%),Lainnya,Lainnya(%),Rumah Tangga(ton),Perkantoran(ton),Pasar(ton),Perniagaan(ton),Fasilitas Publik(ton),Kawasan(ton),Lain(ton),Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B), %Pengurangan Sampah(B/A) ,Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Luas Wilayah (km2)(A),Luas RTH (km2)(B),% RTH(B/A),Taman Kota (km2),Hutan Kota (km2),Jalur hijau di Jalan (km2),Sempadan Sungai (km2),Sempadan Pantai (km2),Tempat Pemakaman Umum (km2),Sempadan Rel Kereta Api (km2),Jalur Hijau Jaringan Listrik Tegangan Tinggi (km2),Pengaman Sumber_Air Baku Mata Air (km2),Kebun Bibit (km2),Lainlain (km2),Klaster
2024,Aceh,Kab. Aceh Selatan,95.79,34963.35,1051697.568,30.08,429699.5715,12.29,458019.885,13.1,570951.5055,16.33,223765.44,6.4,189501.357,5.42,119924.2905,3.43,187053.9225,5.35,265721.46,7.6,1.1,0.95,6.0,5.65,5.95,0.4,1.3,34963.35,508.75,1.4551,12787.75,36.57473,13296.5,38.02982,68.0,3039.402985074627,8.887600830797469,P 2,4173.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Tenggara,114.68,41859.66,1643277.45,47.0,174816.75,5.0,314670.15,9.0,874083.75,25.0,139853.4,4.0,104890.05,3.0,104890.05,3.0,139853.4,4.0,2868.267373,6.852048193,21.0,16.0,28.0,8.0,9.0,18.0,1.0,41859.66,26.0,0.06211,365.0,0.87196,391.0,0.93407,2397.791667,365.0,0.87,P 2,4242.04,2.2,0.05,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Timur,184.56,67363.09,874083.75,25.0,734230.35,21.0,314670.15,9.0,489486.9,14.0,244743.45,7.0,174816.75,5.0,209780.1,6.0,279706.8,8.0,174816.75,5.0,18.0,5.0,12.0,9.0,5.0,2.0,2.0,67363.09,2.0,0.00297,29484.0,43.76878,29486.0,43.77175,602.3333333,858.0,1.27,P 2,6040.6,0.13556,0.0,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Tengah,113.98,41601.58,769193.7,22.0,629340.3,18.0,244743.45,7.0,909047.1,26.0,104890.05,3.0,384596.85,11.0,174816.75,5.0,174816.75,5.0,104890.05,3.0,50.0,7.0,15.0,11.0,5.0,8.0,4.0,41601.58,2413.0,5.80026,1166.0,2.80278,3579.0,8.60304,1066.333333,1166.0,2.8,P 2,4527.53,0.96171,0.02,0.32,0.02,0.02,0.6,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Barat,102.55,37432.21,1992910.95,57.0,115379.055,3.3,209780.1,6.0,839120.4,24.0,139853.4,4.0,104890.05,3.0,34963.35,1.0,41956.02,1.2,17481.675,0.5,56.65,5.5,21.6,10.65,2.95,2.8,2.4,37432.21,1.0,0.00267,25262.0,67.48733,25263.0,67.49,1424.0,1533.0,4.1,P 2,292795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Aceh,Kab. Aceh Besar,149.14,54434.93,891565.425,25.5,891565.425,25.5,332151.825,9.5,755208.36,21.6,178313.085,5.1,115379.055,3.3,115379.055,3.3,129364.395,3.7,87408.375,2.5,48.2,2.7,19.6,12.1,4.3,7.8,5.3,54434.93,4.0,0.00735,1005.0,1.84624,1009.0,1.85359,852.0,1005.0,1.85,P 2,2903.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Pidie,181.02,66071.86,297188.475,8.5,262225.125,7.5,674792.655,19.3,1248191.595,35.7,139853.4,4.0,34963.35,1.0,104890.05,3.0,69926.7,2.0,664303.65,19.0,15.0,10.0,60.1,294.3825926,5.9,1378.442798,9.0,66071.86,9137.0,13.82888,22240.0,33.66032,31377.0,47.4892,9128.5,7807.0,11.82,P 2,3184.46,0.41954,0.01,0.12,0.0,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.23,1
2024,Aceh,Kab. Aceh Utara,307.32,112171.8,1048900.5,30.0,349633.5,10.0,349633.5,10.0,1398534.0,40.0,174816.75,5.0,69926.7,2.0,34963.35,1.0,34963.35,1.0,34963.35,1.0,150.0,2.0,112.0,20.32,10.0,10.0,3.0,112171.8,13.0,0.01159,19317.0,17.22091,19330.0,17.2325,2397.791667,1249.0,1.11,P 2,3296.86,0.0542,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Simeulue,45.68,16673.93,797164.38,22.8,534939.255,15.3,423056.535,12.1,916039.77,26.2,356626.17,10.2,125868.06,3.6,97897.38,2.8,69926.7,2.0,174816.75,5.0,13.7,5.48,11.42,8.68,3.2,1.83,1.37,16673.93,579.5,3.47549,625.0,3.74837,1204.5,7.22385,579.5,625.0,3.75,P 2,1838.1,0.1227,0.01,0.02,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Singkil,54.9,20039.08,1048900.5,30.0,349633.5,10.0,524450.25,15.0,769193.7,22.0,69926.7,2.0,174816.75,5.0,104890.05,3.0,69926.7,2.0,384596.85,11.0,34.0,0.3,12.0,5.0,0.6,2.0,1.0,20039.08,691.5,3.45076,1248.0,6.22783,1939.5,9.67859,691.5,1248.0,6.23,P 2,1857.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Bireuen,161.77,59046.49,1492935.045,42.7,346137.165,9.9,496479.57,14.2,660807.315,18.9,90904.71,2.6,73423.035,2.1,76919.37,2.2,80415.705,2.3,178313.085,5.1,383.5429762,124.4860317,401.7314683,294.3825926,251.6837103,1378.442798,762.676453,59046.49,10113.0,17.12718,10113.0,17.12718,20226.0,34.25436,10113.0,10113.0,17.13,P 2,1780.07,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Aceh Barat Daya,80.03,29210.59,699267.0,20.0,69926.7,2.0,874083.75,25.0,1048900.5,30.0,384596.85,11.0,69926.7,2.0,104890.05,3.0,34963.35,1.0,209780.1,6.0,25.0,15.0,30.0,10.0,10.0,5.0,5.0,29210.59,389.0,1.33171,1799.0,6.15873,2188.0,7.49043,389.0,1799.0,7.49,P 2,1882.05,0.01414,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Gayo Lues,41.94,15308.98,1398534.0,40.0,489486.9,14.0,139853.4,4.0,1118827.2,32.0,6992.67,0.2,27970.68,0.8,10489.005,0.3,24474.345,0.7,279706.8,8.0,14.07,7.14,13.71,1.98,3.42,0.62,1.0,15308.98,970.75,6.34105,7656.75,50.01476,8627.5,56.35581,1277.666667,3039.402985074627,28.199590384693344,P 2,5365.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Aceh,Kab. Aceh Jaya,50.34,18373.01,1678240.8,48.0,489486.9,14.0,349633.5,10.0,489486.9,14.0,314670.15,9.0,69926.7,2.0,34963.35,1.0,34963.35,1.0,34963.35,1.0,18.0,4.0,14.0,6.0,5.0,3.0,0.34,18373.01,229.3333333,1.24821,313.0,1.70359,542.33,2.95179,153.5,313.0,1.7,P 2,3727.0,2.2759,0.06,0.08,0.0,0.11,0.18,1.91,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Nagan Raya,70.58,25763.31,1573350.75,45.0,209780.1,6.0,174816.75,5.0,1223717.25,35.0,34963.35,1.0,69926.7,2.0,69926.7,2.0,34963.35,1.0,104890.05,3.0,17.5,0.5,8.5,6.0,1.0,1.3,1.5,25763.31,3.0,0.01164,4964.0,19.26771,4967.0,19.27936,2629.5,4964.0,19.27,P 2,354490.0,94.5053,0.03,9.03,0.54,0.08,0.0,0.0,2.24,0.0,0.0,0.0,0.0,82.62,1
2024,Aceh,Kab. Aceh Tamiang,123.64,45127.58,1573350.75,45.0,209780.1,6.0,174816.75,5.0,1223717.25,35.0,34963.35,1.0,69926.7,2.0,69926.7,2.0,34963.35,1.0,104890.05,3.0,9.25,2.5,18.0,4.5,2.265,3.0,4.0,45127.58,57.0,0.12631,11980.0,26.54696,12037.0,26.67327,3541.0,2363.0,5.24,P 2,1957.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Bener Meriah,68.81,25117.26,664303.65,19.0,944010.45,27.0,699267.0,20.0,629340.3,18.0,174816.75,5.0,104890.05,3.0,104890.05,3.0,139853.4,4.0,34963.35,1.0,35.97,0.18,5.95,19.06,2.41,0.81,1.5,25117.26,111.0,0.44193,14563.0,57.98005,14674.0,58.42198,100.0,1715.0,7.23,P 2,145.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kab. Pidie Jaya,82.58,30143.46,699267.0,20.0,944010.45,27.0,489486.9,14.0,909047.1,26.0,87408.375,2.5,104890.05,3.0,104890.05,3.0,87408.375,2.5,69926.7,2.0,16.0,7.0,23.0,27.0,8.0,9.7,9.3,30143.46,3117.0,10.34055,4745.0,15.74139,7862.0,26.08194,2397.791667,3039.402985074627,18.03772576895495,P 2,952.11,10.0,1.05,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kota Banda Aceh,259.4,94679.61,1030719.558,29.48,824785.4265,23.59,221667.639,6.34,900306.2625,25.75,17132.0415,0.49,65381.4645,1.87,6643.0365,0.19,51396.1245,1.47,378303.447,10.82,76.5,0.23,3.72,15.69,2.85,0.0,1.01,94679.61,113.0,0.11935,15283.0,16.14181,15396.0,16.26116,111.0,15283.0,16.26,P 2,59.02,8.44149,14.3,1.01,0.28,0.67,1.33,4.86,0.22,0.0,0.0,0.0,0.0,0.07,1
2024,Aceh,Kota Sabang,17.41,6354.94,699267.0,20.0,349633.5,10.0,174816.75,5.0,699267.0,20.0,349633.5,10.0,174816.75,5.0,174816.75,5.0,524450.25,15.0,349633.5,10.0,7.0,3.0,0.5,4.5,0.5,2.0,2.0,6354.94,25.66666667,0.40389,4657.0,73.28157,4682.67,73.68546,2397.791667,3039.402985074627,85.5585521196837,P 2,122.13,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Aceh,Kota Lhokseumawe,100.2,36571.41,1748167.5,50.0,279706.8,8.0,699267.0,20.0,349633.5,10.0,174816.75,5.0,4195.602,0.12,20978.01,0.6,79716.438,2.28,139853.4,4.0,59.0,14.0,11.8,3.4,6.6,3.2,2.0,36571.41,3313.0,9.05899,1661.0,4.5418,4974.0,13.60079,3313.0,1661.0,4.54,P 2,181.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Aceh,Kota Langsa,97.37,35538.23,769193.7,22.0,699267.0,20.0,314670.15,9.0,524450.25,15.0,244743.45,7.0,349633.5,10.0,244743.45,7.0,279706.8,8.0,69926.7,2.0,20.0,4.3,15.0,12.0,14.0,2.55,762.676453,35538.23,513.0,1.44352,26242.0,73.84161,26755.0,75.28512,7.0,1168.0,3.31,P 2,239.83,75.1282,31.33,55.05,0.75,13.51,5.46,0.05,0.32,0.0,0.0,0.0,0.0,0.0,0
2024,Aceh,Kota Subulussalam,48.89,17843.03,909047.1,26.0,699267.0,20.0,349633.5,10.0,524450.25,15.0,69926.7,2.0,174816.75,5.0,174816.75,5.0,69926.7,2.0,524450.25,15.0,10.0,0.5,9.0,2.0,3.0,5.0,0.5,17843.03,55.0,0.30824,91.0,0.51,146.0,0.81825,55.0,91.0,0.51,P 2,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Utara,Kab. Nias,59.2,21606.39,174816.75,5.0,629340.3,18.0,174816.75,5.0,1922984.25,55.0,69926.7,2.0,34963.35,1.0,34963.35,1.0,34963.35,1.0,419560.2,12.0,9.0,0.3,1.98,32.11552288,0.33,18.31882353,0.93,21606.39,15.0,0.06942,420.0,1.94387,435.0,2.01329,15.0,420.0,1.94,P 2,853.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Utara,Kab. Langkat,533.36,194674.76,7397640.88,38.0,5840242.8,30.0,4672194.24,24.0,1362723.32,7.0,38934.952,0.2,38934.952,0.2,19467.476,0.1,19467.476,0.1,77869.904,0.4,8.5,5.4,8.0,6.8,3.9,1.9,2.8,194674.76,2186.25,1.12303,19033.0,9.77682,21219.25,10.89985,1802.25,1476.0,0.76,P 2,6273.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Utara,Kab. Simalungun,517.96,189055.4,192298.425,5.5,67479.2655,1.93,539834.124,15.44,715350.141,20.46,12936.4395,0.37,269217.795,7.7,157335.075,4.5,300684.81,8.6,1241198.925,35.5,255.1,50.81,135.25,12.12,79.31,13.81,45.79,189055.4,17777.0,9.40306,141.0,0.07458,17918.0,9.47765,15.0,141.0,0.07,P 2,4372.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Utara,Kab. Dairi,132.23,48265.41,1845715.247,52.79,384247.2165,10.99,436342.608,12.48,769193.7,22.0,11188.272,0.32,12237.1725,0.35,6992.67,0.2,18530.5755,0.53,11887.539,0.34,50.0,10.0,23.0,10.0,14.0,10.0,10.0,48265.41,129.0,0.26727,73.0,0.15125,202.0,0.41852,36.0,73.0,0.15,P 2,1927.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Utara,Kab. Toba,110.35,40278.85,879328.2525,25.15,468508.89,13.4,144398.6355,4.13,328305.8565,9.39,48249.423,1.38,159432.876,4.56,463264.3875,13.25,225513.6075,6.45,779333.0715,22.29,42.56,2.37,19.88,2.79,6.76,12.42,24.69,40278.85,7.0,0.01738,1119.0,2.77813,1126.0,2.79551,250.3333333,1119.0,2.78,P 2,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Utara,Kab. Humbang Hasundutan,61.41,22414.65,664303.65,19.0,1678240.8,48.0,349633.5,10.0,454523.55,13.0,104890.05,3.0,34963.35,1.0,6992.67,0.2,27970.68,0.8,174816.75,5.0,49.7,0.75,5.5,32.11552288,2.36,18.31882353,3.1,22414.65,1172.25,5.22984,15018.0,67.00082,16190.25,72.23066,767.3333333,1796.0,8.01,P 2,2502.71,0.00515,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Sumatera Utara,Kab. Samosir,57.23,20888.37,891565.425,25.5,454523.55,13.0,524450.25,15.0,1083863.85,31.0,122371.725,3.5,122371.725,3.5,69926.7,2.0,69926.7,2.0,157335.075,4.5,30.5,8.0,6.2,5.0,2.0,5.0,5.0,20888.37,1561.0,7.47306,1150.0,5.50546,2711.0,12.97851,1217.333333,1150.0,5.5,P 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Utara,Kota Medan,1731.92,632149.41,891565.425,25.5,454523.55,13.0,524450.25,15.0,1083863.85,31.0,122371.725,3.5,122371.725,3.5,69926.7,2.0,69926.7,2.0,157335.075,4.5,795.0,141.0,353.0,177.0,177.0,88.0,36.0,632149.41,12618.0,1.99605,590573.0,93.42301,603191.0,95.41906,12517.0,135801.0,23.46,P 2,265.1,44.44956,16.77,4.42,14.14,1.59,16.24,4.24,3.22,0.38,0.0,0.0,0.0,0.21,0
2024,Sumatera Utara,Kota Sibolga,41.29,15069.44,924780.6075,26.45,1013937.15,29.0,259428.057,7.42,567804.804,16.24,57689.5275,1.65,162579.5775,4.65,58738.428,1.68,131112.5625,3.75,320264.286,9.16,17.48,0.93,8.05,1.48,2.53,5.85,4.96,15069.44,6.0,0.03982,70.0,0.46452,76.0,0.50433,4.0,70.0,0.49,P 2,10.77,2.17924,20.23,0.01,0.71,0.0,0.04,0.01,0.01,0.0,0.0,0.0,0.0,1.41,1
2024,Sumatera Utara,Kota Tanjung Balai,93.1,33982.78,2238353.667,64.02,67828.899,1.94,332151.825,9.5,488787.633,13.98,20978.01,0.6,31467.015,0.9,9789.738,0.28,18530.5755,0.53,288447.6375,8.25,60.5,2.88,2.59,6.98,1.49,5.96,3.97,33982.78,14009.2582,41.22458,1301.0,3.82841,15310.26,45.05299,11526.73446,1301.0,3.83,P 2,60.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Sumatera Barat,Kab. Pesisir Selatan,157.61,57526.37,713252.34,20.4,685281.66,19.6,804157.05,23.0,664303.65,19.0,559413.6,16.0,14684.607,0.42,55242.093,1.58,1128.268624,1.961319444,3556.434323,6.182307692,86.1,16.0,28.3,1.5,18.0,3.6,4.803283582,57526.37,63.0,0.10951,22741.0,39.53144,22804.0,39.64095,63.0,9528.0,16.67,P 2,1938.79,600.20041,30.96,0.24,1.66,313.18,163.3,121.83,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Barat,Kab. Solok,162.15,59185.48,1013937.15,29.0,699267.0,20.0,419560.2,12.0,769193.7,22.0,69926.7,2.0,69926.7,2.0,69926.7,2.0,69926.7,2.0,314670.15,9.0,7.75,1.0,4.75,3.0,2.0,1.5,1.0,59185.48,107.0,0.18079,15186.0,25.65832,15293.0,25.83911,91.0,7521.0,12.86,P 2,3738.0,0.79089,0.02,0.01,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.45,1
2024,Sumatera Barat,Kab. Sijunjung,100.18,36565.78,706259.67,20.2,1311125.625,37.5,489486.9,14.0,674792.655,19.3,234254.445,6.7,10489.005,0.3,6992.67,0.2,40207.8525,1.15,22726.1775,0.65,23.1,1.7,8.6,1.5,0.2,1.0,0.36,36565.78,349.0,0.95444,7917.0,21.65139,8266.0,22.60584,348.0,7917.0,22.6,P 2,3155.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Barat,Kab. Tanah Datar,131.35,47943.05,2424358.689,69.34,5205.657087,10.85801282,301733.7105,8.63,209780.1,6.0,78317.904,2.24,54892.4595,1.57,521.02626,1.086761905,116427.9555,3.33,310824.1815,8.89,88.6,0.28,17.75,1.54,12.27,2.517042254,4.803283582,47943.05,1306.0,2.72407,27116.0,56.55877,28422.0,59.28284,1304.0,9155.0,21.82,P 2,1336.0,130.83143,9.79,0.04,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Sumatera Barat,Kab. Padang Pariaman,229.58,83798.34,1112533.797,31.82,16083.141,0.46,446831.613,12.78,1530345.83,43.77,175.9758,0.21,27271.413,0.78,72374.1345,2.07,17481.675,0.5,273413.397,7.82,15.0,12.0,30.0,6.687269737,10.75854825,3.0,12.0,83798.34,168.0,0.20048,228.0,0.27208,396.0,0.47256,1.5,228.0,0.27,P 2,1343.09,0.00307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Barat,Kab. Lima Puluh Kota,160.43,58558.56,1112533.797,31.82,16083.141,0.46,446831.613,12.78,1530345.83,43.77,0.0,0.0,27271.413,0.78,72374.1345,2.07,17481.675,0.5,273413.397,7.82,56.0,14.0,37.0,22.0,19.0,5.0,3.0,58558.56,25.0,0.04269,10765.0,18.38331,10790.0,18.426,25.0,10765.0,18.43,P 2,3354.0,0.22907,0.01,0.22,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Barat,Kab. Pasaman,127.23,46439.68,2140106.654,61.21,66430.365,1.9,548924.595,15.7,431797.3725,12.35,143349.735,4.1,12936.4395,0.37,22026.9105,0.63,66430.365,1.9,64332.564,1.84,52.3,5.65,13.4,3.93,9.1,10.12,5.5,46439.68,5851.0,12.59914,20472.0,44.08299,26323.0,56.68213,5831.0,2822.0,18.63,P 2,3947.63,7.97521,0.2,0.0,0.02,0.01,7.93,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0
2024,Sumatera Barat,Kab. Dharmasraya,121.1,44200.04,1853057.55,53.0,349633.5,10.0,174816.75,5.0,1048900.5,30.0,34963.35,1.0,34963.35,1.0,480.3487619,1.086761905,866.9031944,1.961319444,3978.0,9.0,2.39,6.23,2.61,19.19,88.58,2.1,11.20333333,44200.04,107.0,0.24208,25314.0,57.27144,25421.0,57.51352,1319.25,2965.2587719298244,9.693449987669297,P 2,2921.2,0.0562,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Sumatera Barat,Kab. Solok Selatan,76.62,27964.84,1200991.073,34.35,27271.413,0.78,571650.7725,16.35,898208.4615,25.69,4545.2355,0.13,20628.3765,0.59,19229.8425,0.55,80765.3385,2.31,673044.4875,19.25,65.45,0.23,2.35,6.02,2.45,0.05,0.07,27964.84,6.0,0.02146,6973.0,24.93488,6979.0,24.95634,6866.5,6973.0,24.94,P 2,3282.14,0.4994,0.02,0.04,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1
2024,Sumatera Barat,Kota Padang,629.7,229840.56,1200991.073,34.35,27271.413,0.78,571650.7725,16.35,898208.4615,25.69,4545.2355,0.13,20628.3765,0.59,19229.8425,0.55,80765.3385,2.31,673044.4875,19.25,463.575,17.05,89.3,20.065,40.53,7.025,8.025,229840.56,2076.0,0.90323,214018.0,93.11585,216094.0,94.01909,1933.0,40643.0,18.52,P 2,694.96,142.27021,20.47,0.07,0.24,0.19,19.97,0.35,0.0,0.38,0.01,1.0,0.0,120.07,0
2024,Sumatera Barat,Kota Solok,58.73,21438.24,1598873.996,45.73,388792.452,11.12,590181.348,16.88,724440.612,20.72,62234.763,1.78,12237.1725,0.35,4894.869,0.14,28320.3135,0.81,86359.4745,2.47,47.63,0.93,7.15,2.29,0.26,0.05,0.42,21438.24,38.0,0.17725,21272.0,99.22456,21310.0,99.40182,14.0,3856.0,18.05,P 2,58.72,20.65923,35.18,0.12,11.31,9.21,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0
2024,Sumatera Barat,Kota Sawahlunto,19.15,6988.44,1608314.1,46.0,349633.5,10.0,384596.85,11.0,489486.9,14.0,104890.05,3.0,174816.75,5.0,139853.4,4.0,174816.75,5.0,69926.7,2.0,12.59,0.32,2.33,0.18,1.4,0.28,1.08,6988.44,127.0,1.81729,6447.0,92.25235,6574.0,94.06963,126.0,1377.0,21.51,P 2,273.45,0.33862,0.12,0.24,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2024,Sumatera Barat,Kota Padang Panjang,50.71,18508.71,1608314.1,46.0,349633.5,10.0,384596.85,11.0,489486.9,14.0,104890.05,3.0,174816.75,5.0,139853.4,4.0,174816.75,5.0,69926.7,2.0,36.45,0.36,6.7625,1.5225,1.32,0.01,0.89,18508.71,107.0,0.57811,2237.0,12.0862,2344.0,12.66431,78.0,2237.0,12.51,P 2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Barat,Kota Bukittinggi,132.99,48542.31,1608314.1,46.0,349633.5,10.0,384596.85,11.0,489486.9,14.0,104890.05,3.0,174816.75,5.0,139853.4,4.0,174816.75,5.0,69926.7,2.0,59.03,0.48,32.18,1.34,6.96,0.7,0.01,48542.31,66.0,0.13596,6682.0,13.76531,6748.0,13.90127,2.0,6682.0,13.77,P 2,25.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Sumatera Barat,Kota Pariaman,41.11,15003.69,1608314.1,46.0,349633.5,10.0,384596.85,11.0,489486.9,14.0,104890.05,3.0,174816.75,5.0,139853.4,4.0,174816.75,5.0,69926.7,2.0,86.95,0.39,6.25,1.41,2.93,2.01,0.06,15003.69,1296.5,8.64121,1752.0,11.67713,3048.5,20.31834,1296.5,1752.0,11.68,P 2,64.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Riau,Kab. Bengkalis,261.14,95314.82,564308.469,16.14,383198.316,10.96,237401.1465,6.79,331102.9245,9.47,36711.5175,1.05,167124.813,4.78,179012.352,5.12,458369.5185,13.11,1139105.943,32.58,43.75,12.5,17.5,5.0,11.25,7.5,2.5,95314.82,912.0,0.95683,74514.0,78.17672,75426.0,79.13355,460.0,9362.0,10.3,P 2,8628.05,0.52083,0.01,0.15,0.07,0.01,0.0,0.01,0.16,0.0,0.12,0.0,0.0,0.0,0
2024,Riau,Kab. Rokan Hulu,282.75,103202.06,564308.469,16.14,383198.316,10.96,237401.1465,6.79,331102.9245,9.47,36711.5175,1.05,167124.813,4.78,179012.352,5.12,458369.5185,13.11,1139105.943,32.58,73.4548,5.24,22.0538,19.6022,4.286,6.326086957,12.42105263,103202.06,15854.0,15.3621,19180.0,18.5849,35034.0,33.947,6675.5,6383.0,6.19,P 2,7588.13,0.3997,0.01,0.04,0.33,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2024,Riau,Kab. Siak,192.07,70104.67,1363570.65,39.0,524450.25,15.0,349633.5,10.0,909047.1,26.0,34963.35,1.0,69926.7,2.0,69926.7,2.0,104890.05,3.0,69926.7,2.0,17.5,5.0,7.0,2.0,4.5,3.0,1.0,70104.67,2.0,0.00285,33666.0,48.02248,33668.0,48.02533,5625.0,9780.0,13.95,P 2,8556.09,1.45856,0.02,0.45,0.33,0.15,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.5,1
2024,Riau,Kab. Kuantan Singingi,146.4,53434.39,1335859.75,25.0,1816769.26,34.0,267171.95,5.0,534343.9,10.0,801515.85,15.0,26717.195,0.5,26717.195,0.5,427475.12,8.0,106868.78,2.0,25.0,5.9,8.5,6.0,5.9,5.9,12.42105263,53434.39,3.0,0.00561,33942.0,63.52089,33945.0,63.5265,3497.0,9688.0,18.13,P 2,5457.86,633.21558,11.6,533.33,26.98,0.08,17.38,0.0,0.84,0.0,15.69,0.0,0.0,38.91,0
